#nyc#moma	O
@	O
museum	LOCATION
modern	LOCATION
art	LOCATION
(moma)	O
40.76139684	O
-73.97698575	O
1378921294	O
EOS	O
dindin	O
dad	O
&amp;	O
my	O
main	O
partner	O
crime!	O
#lifeisgood	O
(@	O
gemma	O
bowery	LOCATION
hotel	LOCATION
w/	O
4	O
others)	O
40.72623395	O
-73.99176928	O
1367530989	O
EOS	O
chese	O
cake	O
(@	O
trump	LOCATION
tower	LOCATION
)	O
40.76241787	O
-73.97394922	O
1382892415	O
EOS	O
i'm	O
just	O
being	O
miley	O
@	O
hearst	LOCATION
tower	LOCATION
40.7667616	O
-73.98313522	O
1379105319	O
EOS	O
i'm	O
cornerstone	LOCATION
tavern	LOCATION
-	O
@nyc_cornerstone	O
(new	O
york	O
ny)	O
w/	O
2	O
others	O
40.75561381	O
-73.96827285	O
1363987154	O
EOS	O
i'm	O
maxwell's	LOCATION
bar	LOCATION
&amp;	O
restaurant	O
(new	O
york	O
ny)	O
40.71496202	O
-74.006442	O
1364763228	O
EOS	O
i'm	O
gemma	O
bowery	LOCATION
hotel	LOCATION
(new	O
york	O
ny)	O
40.72623395	O
-73.99176928	O
1381274541	O
EOS	O
balthazar	O
#soho	O
#nyc	O
@	O
balthazar	LOCATION
restaurant	LOCATION
40.72270549	O
-73.99819851	O
1363131175	O
EOS	O
moma	O
garden.	O
2013-11-04	O
@	O
museum	LOCATION
modern	LOCATION
art	LOCATION
(moma)	O
40.76139684	O
-73.97698575	O
1383582919	O
EOS	O
i'm	O
museum	LOCATION
modern	LOCATION
art	LOCATION
(moma)	O
-	O
@museummodernart	O
(new	O
york	O
ny)	O
w/	O
17	O
others	O
40.76139684	O
-73.97698575	O
1385569125	O
EOS	O
@duranduran	O
here	O
david	O
lynch	O
screening	O
now!	O
keep	O
together	O
sl	O
(@	O
museum	LOCATION
modern	LOCATION
art	LOCATION
(moma))	O
40.76139684	O
-73.97698575	O
1383610906	O
EOS	O
#christmastree	O
#sohograndhotel	O
#nyc	O
#newyork	O
#latergram	O
@	O
soho	LOCATION
grand	LOCATION
hotel	LOCATION
40.7219709	O
-74.00422799	O
1387370848	O
EOS	O
miss	O
monroe	O
@	O
museum	LOCATION
modern	LOCATION
art	LOCATION
(moma)	O
40.76139684	O
-73.97698575	O
1379272651	O
EOS	O
i	O
mean	O
????	O
@	O
times	LOCATION
square	LOCATION
tower	LOCATION
40.75587222	O
-73.98682594	O
1380502991	O
EOS	O
i	O
loved	O
seeing	O
@theplazaeloise	O
today.	O
she	O
always	O
looking	O
lovely.	O
@	O
plaza	LOCATION
hotel	LOCATION
new	O
york	O
40.75057734	O
-73.96867462	O
1380908327	O
EOS	O
i'm	O
jane	LOCATION
hotel	LOCATION
-	O
@janehotelnyc	O
(new	O
york	O
ny)	O
w/	O
12	O
others	O
40.73815079	O
-74.00943275	O
1384065029	O
EOS	O
i'm	O
balthazar	LOCATION
restaurant	LOCATION
w/	O
@hilalerkut	O
40.72270549	O
-73.99819851	O
1383486354	O
EOS	O
#expo1ny	O
rain	O
room	O
phenomenal.	O
must	O
see.	O
@	O
museum	LOCATION
modern	LOCATION
art	LOCATION
(moma)	O
40.76139684	O
-73.97698575	O
1368329694	O
EOS	O
lunch	O
trump	LOCATION
tower	LOCATION
s	O
EOS	O
just	O
posted	O
photo	O
@	O
international	O
affairs	O
building	O
-	O
columbia	LOCATION
university	LOCATION
40.80754723	O
-73.9597953	O
1389974632	O
EOS	O
post	O
fashion	O
week	O
@beckadiamond	O
@thedandyproject	O
#nyc	O
#janehotel	O
#wednesdays	O
@	O
jane	LOCATION
hotel	LOCATION
ballroom	O
40.73816955	O
-74.00909993	O
1379567508	O
EOS	O
spotted	O
EOS	O
i'm	O
balthazar	LOCATION
restaurant	LOCATION
(new	O
york	O
ny)	O
w/	O
6	O
others	O
